LAT_LONG,DAU_CODE
36.830311_-119.744264,233
36.836409_-120.707495,216
36.836944_-119.539167,234
36.840873_-120.435277,216
36.847085_-120.445043,216
36.8507_-119.8303,233
36.8514_-119.9012,233
36.8558_-119.8793,233
36.862253_-119.790694,234
36.862861_-120.454443,215
36.865925_-119.781875,234
36.86615_-119.785531,234
36.86635_-119.790233,234
36.866414_-119.783956,234
36.866872_-119.702108,233
36.866931_-119.781236,234
36.867292_-119.695681,233
36.868611_-120.452778,216
36.868803_-119.782428,234
36.870553_-119.781564,234
36.871343_-120.455569,216
36.872778_-119.647778,234
36.87391_-119.8078,214
36.87504_-121.823254,59
36.875442_-119.789203,234
36.876575_-119.787469,234
36.877406_-119.647844,234
36.879444_-120.434726,215
36.882553_-119.661311,234
36.888262_-121.804138,59
36.890225_-120.686678,216
36.895592_-119.674072,221
36.898378_-119.755572,234
36.901064_-121.784885,59
36.901195_-120.676917,216
36.903758_-121.78261,59
36.905248_-120.676979,216
